term,simple
kinks,Twist or bends in something.
Kirschner wire,A wire that is used in surgery to hold bones together.
kissing stents,Using two stents to treat blocked arteries in patients with peripheral artery disease.
kitner,A kitner is like a special cloth used in surgery.
Klatskin tumor,A type of cancer that grows where the two main bile ducts in the liver come together.
Klebsiella,"A type of germ that can lead to various illnesses like lung infections, UTIs, and diarrhea."
KLEBSIELLA OXYTOCA,A type of bacteria that can result in bowel issues and blood infections.
Klebsiella pneumoniae,A germ that can lead to various illnesses like lung and urinary infections.
Klinefelter syndrome,A condition in males where they have one or more extra X chromosomes causing genetic issues.
kling,A brand of stretchy gauze that sticks to itself when wrapped around the body.
Klippel Tenaunay,"Issues with blood vessels, soft tissues, bones, and sometimes the lymphatic system that are present at birth."
Klippel Trenaunay,"Problem with blood vessels, tissues, bones, and lymph system from birth."
Klonipin,A drug used for anxiety and seizures.
Klonopin,A medication used for anxiety and seizures.
Klor-Con,Klor-Con helps body systems and muscles work better.
Klorcon,A measure of electrolyte concentration based on the total number of particles in the solution and its strength.
KLUYVERA,A type of bacteria that can make you sick.
knee,A surgery to insert metal and plastic parts into the knee to strengthen the joints.
knee replacement,A surgery where metal and plastic parts are used to strengthen the knee joint.
knee replacements,Knee replacements are surgeries where metal and plastic parts are inserted to improve knee joints.
kneecap,"A knee problem that makes your kneecap move oddly, treatable with physical therapy."
knees,The part of your body that lets you bend your legs.
knuckle,The knuckle is where your finger bends the most.
Kocher,A sturdy tool used to control bleeding during surgery.
Kocher incision,A Y-shaped cut in the neck for thyroid surgery is called a Kocher incision.
Kocher interval,A way to get to the gall bladder during surgery.
Kocher-Langenbeck approach,A common surgical technique to access the hip joint.
Kochers point,A spot on the skull used by surgeons to enter through the frontal bone.
Korsakoff,"Memory loss caused by brain damage from a lack of vitamin B-1, often due to alcoholism or malnutrition."
KPAD,A brand of heating pad that circulates warm water to soothe the body.
Krabbe disease,A genetic disorder that damages nerve cell protection in the brain and nervous system.
Krackow stitch,A method for stitching soft tissues together using multiple loops on each side of the ligament or tendon.
KRAS,Changes in genetic material that could lead to the growth of cancerous cells.
KRAS mutations,Mutations in the KRAS gene that can lead to cancer.
Krukenberg,Krukenberg is a cancer in the ovary that originally started in another part of the body.
KUB,A KUB is an x-ray of your belly to check your urinary system.
Kufs,"A genetic disease that messes with the nervous system and can cause vision loss, seizures, and memory problems."
Kugel,A synthetic patch used in the body to cover holes or strengthen weak spots.
Kumpe,A Kumpe is a type of tube typically used to reach the urinary tract.
KUP,A KUP is an x-ray of the abdomen to check the urinary system and nearby areas.
Kupffer,A Kupffer is a type of liver cell that helps keep it healthy.
Kussmaul,Struggling to breathe deeply due to a health issue like diabetes.
Kwell,A drug called Kwell.
Kyphon,A procedure using small balloons to help repair certain types of spinal fractures.
Kyphoplasty,A spine surgery that helps in treating a specific type of spinal bone fracture.
KYPHOS,Having a rounded upper back.
kyphoscoliosis,Kyphoscoliosis is when the spine is curved in two areas.
kyphosis,"When you have kyphosis, your upper back looks more rounded than usual."
kyphotic,Having a hunched or curved back.
kyphus,"When someone has kyphus, their upper back is rounded."
Kytril,"A medicine that helps stop feeling sick and throwing up, often given to people getting cancer treatments."
L-SPINE,"The lower part of the back that includes bones, nerves, and muscles."
LA thrombus,A blood clot in the heart part that can happen in people with certain heart conditions.
lab,Test results from the laboratory.
lab determinations,Results from tests conducted in a lab.
LAB TECK,A lab tech is someone who performs tests on samples and records the findings.
labd,Test results from the lab.
labetalol,A small dose of medication.
labetelol,A medication called labetelol.
Labetolol,A medication that helps treat high blood pressure and lower heart rate.
Labia,The folds around the vagina.
labia majora,Part of the female genitalia on the outside.
labia minor,The labia minor is part of a woman's genitalia known as the vulva.
labial,Related to the lips at the entrance of the vagina.
labial mucosa,The inner part of your lips.
labile,Easily changing or unstable.
labium,Flaps on either side of the vagina.
laboratories,Places where experiments and tests are conducted.
LABORATORY,Testing facilities for experiments and research.
LABORATORY DATA,Test results from experiments or analysis.
laboratory parameters,Lab parameters: Results from tests done in a lab.
laboratory studies,Tests done on samples like blood or urine to help diagnose medical issues or see if treatments are effective.
labored,Breathing that takes a lot of effort.
labored respirations,Breathing is difficult.
laborer,A laborer is someone who works in a factory or on construction sites.
labral,Meaning related to a lip or edge.
labrum,A rubbery ring in the shoulder joint that helps stabilize and cushion movement.
labrynthitis,Inflammation causing inner ear swelling.
Labs,A lab is where experiments and research are done.
labyrinthine,A complex structure in the inner ear that helps us maintain balance.
labyrinthitis,Inflammation of the inner ear causing dizziness and potentially hearing loss.
lac,A lac is a cut or tear in the body's soft tissue.
lacerated,Torn or deeply cut.
lacerating,A lacerating cut is an injury that results in a torn piece of skin or tissue.
laceration,A laceration is a cut on the skin or tissue.
lacerations,"A laceration is a jagged wound caused by tearing soft body tissue, often contaminated with bacteria."
Lacri-Lube,"Eye drops used for dry, irritated eyes."
lacrimal,Related to tears.
lacrimal bones,A tiny bone that helps make up the eye socket.
lacrimal duct,A lacrimal duct is a kind of tube that helps carry tears from the eye to the nose.
lacrimal gland,A gland that produces tears to keep the eyes moist and protected.
lactase,A protein that helps your body digest milk sugar.
lactate,A chemical produced when cells don't have enough oxygen.
